pokedex_number,name,type1,generation,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,base_total,is_legendary
1,Bulbasaur,grass,1,45,49,49,65,65,45,0.7,6.9,318,0
2,Ivysaur,grass,1,60,62,63,80,80,60,1.0,13.0,405,0
3,Venusaur,grass,1,80,100,123,122,120,80,2.0,100.0,625,0
4,Charmander,fire,1,39,52,43,60,50,65,0.6,8.5,309,0
5,Charmeleon,fire,1,58,64,58,80,65,80,1.1,19.0,405,0
6,Charizard,fire,1,78,104,78,159,115,100,1.7,90.5,634,0
7,Squirtle,water,1,44,48,65,50,64,43,0.5,9.0,314,0
8,Wartortle,water,1,59,63,80,65,80,58,1.0,22.5,405,0
9,Blastoise,water,1,79,103,120,135,115,78,1.6,85.5,630,0
10,Caterpie,bug,1,45,30,35,20,20,45,0.3,2.9,195,0
11,Metapod,bug,1,50,20,55,25,25,30,0.7,9.9,205,0
12,Butterfree,bug,1,60,45,50,90,80,70,1.1,32.0,395,0
13,Weedle,bug,1,40,35,30,20,20,50,0.3,3.2,195,0
14,Kakuna,bug,1,45,25,50,25,25,35,0.6,10.0,205,0
15,Beedrill,bug,1,65,150,40,15,80,145,1.0,29.5,495,0
16,Pidgey,normal,1,40,45,40,35,35,56,0.3,1.8,251,0
17,Pidgeotto,normal,1,63,60,55,50,50,71,1.1,30.0,349,0
18,Pidgeot,normal,1,83,80,80,135,80,121,1.5,39.5,579,0
19,Rattata,normal,1,30,56,35,25,35,72,,,253,0
20,Raticate,normal,1,75,71,70,40,80,77,,,413,0
21,Spearow,normal,1,40,60,30,31,31,70,0.3,2.0,262,0
22,Fearow,normal,1,65,90,65,61,61,100,1.2,38.0,442,0
23,Ekans,poison,1,35,60,44,40,54,55,2.0,6.9,288,0
24,Arbok,poison,1,60,95,69,65,79,80,3.5,65.0,448,0
25,Pikachu,electric,1,35,55,40,50,50,90,0.4,6.0,320,0
26,Raichu,electric,1,60,85,50,95,85,110,,,485,0
27,Sandshrew,ground,1,50,75,90,10,35,40,,,300,0
28,Sandslash,ground,1,75,100,120,25,65,65,,,450,0
29,Nidoran♀,poison,1,55,47,52,40,40,41,0.4,7.0,275,0
30,Nidorina,poison,1,70,62,67,55,55,56,0.8,20.0,365,0
31,Nidoqueen,poison,1,90,92,87,75,85,76,1.3,60.0,505,0
