Time,Titulos,Jogos,Vitorias,Empates,Derrotas,Aproveitamento (%),Gols Feitos,Gols Sofridos,Saldo de Gols,Rebaixamentos,Vezes com Artilheiro,Cartoes Vermelhos (2014-25),Ja foi Campeao,Ja foi Rebaixado,Aproveitamento >50%
Palmeiras,4,810,374,204,232,54.6,1203,906,297,1,0,55,1,1,1
Flamengo,4,894,397,241,256,53.4,1308,1031,277,0,2,54,1,0,1
Corinthians,4,856,353,251,252,51.0,1095,924,171,1,2,44,1,1,1
Sao Paulo,3,894,396,246,252,53.5,1259,969,290,0,1,53,1,0,1
Cruzeiro,3,780,337,188,255,51.2,1111,922,189,1,1,44,1,1,1
Fluminense,2,894,353,230,311,48.1,1181,1110,71,0,5,68,1,0,0
Santos,1,856,352,228,276,50.0,1223,1032,191,1,4,56,1,1,0
Atletico-MG,1,855,350,225,280,49.7,1221,1076,145,1,4,52,1,1,0
Botafogo-RJ,1,772,287,212,273,46.3,993,948,45,2,0,47,1,1,0
Mirassol,0,38,18,13,7,58.8,63,39,24,0,0,1,0,0,1
Internacional,0,856,368,224,264,51.7,1138,945,193,1,0,63,0,1,1
Gremio,0,814,341,204,269,50.2,1110,934,176,2,1,49,0,1,1
Athletico-PR,0,818,320,198,300,47.2,1072,1011,61,2,2,39,0,1,0
Sao Caetano,0,172,65,41,66,45.7,209,199,10,1,0,0,0,1,0
Bragantino,0,228,79,70,79,44.9,292,285,7,0,1,26,0,0,0
Fortaleza,0,392,138,100,154,43.7,470,518,-48,3,0,40,0,1,0
Goias,0,590,209,142,239,43.4,789,839,-50,4,2,27,0,1,0
Vasco,0,704,235,200,269,42.9,886,999,-113,4,1,55,0,1,0
Figueirense,0,438,142,124,172,41.9,530,622,-92,3,0,23,0,1,0
Parana,0,248,83,55,110,40.9,312,369,-57,2,1,9,0,1,0
Bahia,0,502,159,138,205,40.8,579,660,-81,3,0,48,0,1,0
Coritiba,0,590,189,151,250,40.6,693,787,-94,5,1,40,0,1,0
Ponte Preta,0,362,114,91,157,39.9,414,534,-120,3,0,17,0,1,0
Vitoria,0,472,147,119,206,39.5,572,685,-113,4,1,35,0,1,0
Ceara,0,304,83,102,119,38.5,311,357,-46,3,0,27,0,1,0
Paysandu,0,134,41,31,62,38.3,193,245,-52,1,0,0,0,1,0
Portuguesa,0,114,31,38,45,38.3,137,157,-20,2,0,0,0,1,0
Sport,0,456,133,118,205,37.8,491,643,-152,5,0,30,0,1,0
Juventude,0,362,105,96,161,37.8,416,568,-152,4,0,29,0,1,0
Guarani,0,130,36,39,55,37.7,140,180,-40,2,0,0,0,1,0
Cuiaba,0,152,40,49,63,37.1,134,167,-33,1,0,17,0,1,0
Criciuma,0,206,59,49,98,36.6,236,325,-89,3,0,11,0,1,0
Chapecoense,0,265,70,77,118,36.1,261,359,-98,2,0,22,0,1,0
Santo Andre,0,38,11,8,19,36.0,46,61,-15,1,0,0,0,1,0
Atletico-GO,0,304,79,88,137,35.6,317,421,-104,4,0,31,0,1,0
Nautico,0,190,54,38,98,35.1,224,318,-94,2,0,0,0,1,0
Gremio Barueri (Barueri/Prudente),0,76,19,23,34,35.1,98,116,-18,1,0,0,0,1,0
America-MG,0,228,58,61,109,34.4,227,332,-105,4,0,28,0,1,0
Avai,0,266,66,73,127,34.0,274,415,-141,5,0,22,0,1,0
Brasiliense,0,42,10,12,20,33.3,49,68,-19,1,0,0,0,1,0
Ipatinga,0,38,9,8,21,30.7,37,67,-30,1,0,0,0,1,0
CSA,0,38,8,8,22,28.1,24,58,-34,1,0,4,0,1,0
Joinville,0,38,7,10,21,27.2,26,48,-22,1,0,8,0,1,0
Santa Cruz,0,76,15,14,47,25.9,86,145,-59,2,0,6,0,1,0
America-RN,0,38,4,5,29,14.9,24,80,-56,1,0,0,0,1,0
